1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.946309875, 5.33333333333, 8.946309875, 6.0, 4.0, 2.0998505, 5.5230801875, 6.0, 8.946309875, 6.0, 6.0, 8.946309875, 8.946309875, 2,
1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.946309875, 5.33333333333, 8.946309875, 6.0, 4.0, 2.0998505, 5.5230801875, 6.0, 8.946309875, 6.0, 6.0, 8.946309875, 8.946309875, 2,
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13.9166456364, 5.83529411765, 13.9166456364, 6.8, 0.5, 0.82964414, 4.24244725034, 6.02857142857, 13.9166456364, 7.0, 5.0, 0.82964414, 5.99244185528, 0,
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3.76470588235, 5.95909090909, 7.52593369231, 7.0, 4.5, 0.430814514286, 2.79323712442, 5.6, 3.76470588235, 6.4, 4.8, 3.76470588235, 3.76470588235, 2,
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7.40390515385, 6.11739130435, 58771.9298246, 8.0, 4.2, 2.22660098522, 8406.23311876, 5.78, 7.40390515385, 6.4, 5.3, 1.46795172619, 3.75215812668, 2,
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4.47323254286, 6.10769230769, 9.221894, 7.1, 4.3, 6e-08, 2.53802548989, 5.4375, 33.0714285714, 6.6, 3.7, 6e-08, 6.65478408255, 2,
1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 5.82254087778, 5.99, 8.3557872, 7.4, 2.0, 0.0598645, 3.53869100062, 6.475, 5.82254087778, 6.9, 5.7, 2.44467942, 4.13361014889, 0,
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2.38872469565, 5.7, 4.4644658, 6.4, 5.1, 0.0601873428571, 2.28133981383, 5.6, 2.38872469565, 5.6, 5.6, 2.38872469565, 2.38872469565, 3,
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3.33333333333, 6.9, 23.7887067333, 7.3, 6.5, 3.33333333333, 13.5610200333, 6.5, 3.33333333333, 7.3, 5.9, 0.0791893409091, 1.70626133712, 0,
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 2.31428571429, 6.325, 15.2631578947, 7.9, 3.0, 0.0965895, 4.30768710665, 6.90769230769, 12.0652912, 7.9, 5.6, 1.5e-05, 3.74697611122, 3,
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2.30681818182, 6.31666666667, 3.53354040909, 7.5, 4.9, 2.30681818182, 2.92017929545, 6.86666666667, 2.30681818182, 6.9, 6.8, 2.30681818182, 2.30681818182, 1,
